Prompt tokens: 74947, Completion tokens: 18182
Prompt tokens: 910107, Completion tokens: 59381
Prompt tokens: 1199332, Completion tokens: 76558
Prompt tokens: 1464306, Completion tokens: 117788
Prompt tokens: 1314017, Completion tokens: 103548
Prompt tokens: 1837772, Completion tokens: 178545
Prompt tokens: 1242294, Completion tokens: 95482
Prompt tokens: 1228094, Completion tokens: 82106
Prompt tokens: 1384161, Completion tokens: 108551
Prompt tokens: 1367982, Completion tokens: 107919
Prompt tokens: 2365577, Completion tokens: 291529
Prompt tokens: 1418447, Completion tokens: 98823
Prompt tokens: 2313231, Completion tokens: 291702
Prompt tokens: 1275458, Completion tokens: 113298
Prompt tokens: 721156, Completion tokens: 71427
Prompt tokens: 1667762, Completion tokens: 150125
Prompt tokens: 2159006, Completion tokens: 284837
Prompt tokens: 1702220, Completion tokens: 130716
Prompt tokens: 1742303, Completion tokens: 165432
Prompt tokens: 1244088, Completion tokens: 75198
Prompt tokens: 1357076, Completion tokens: 90196
Prompt tokens: 1725726, Completion tokens: 177337
Prompt tokens: 1966790, Completion tokens: 255453
Prompt tokens: 1814311, Completion tokens: 156269
Prompt tokens: 2364687, Completion tokens: 310911
Prompt tokens: 1103788, Completion tokens: 76061
Prompt tokens: 1347300, Completion tokens: 101461
Prompt tokens: 2003668, Completion tokens: 251872
Prompt tokens: 1356863, Completion tokens: 87830
Prompt tokens: 1502272, Completion tokens: 123550
Prompt tokens: 2160125, Completion tokens: 282160
Prompt tokens: 1928425, Completion tokens: 187060
Prompt tokens: 1253201, Completion tokens: 92271
Prompt tokens: 2247361, Completion tokens: 292878
Prompt tokens: 2304676, Completion tokens: 301789
Prompt tokens: 1385741, Completion tokens: 117532
Prompt tokens: 1742847, Completion tokens: 170696
Prompt tokens: 1175881, Completion tokens: 70410
Prompt tokens: 2369485, Completion tokens: 353044
Prompt tokens: 1215944, Completion tokens: 85507
Prompt tokens: 1071805, Completion tokens: 156882
Prompt tokens: 2062936, Completion tokens: 262745
Prompt tokens: 1371745, Completion tokens: 103568
Prompt tokens: 2463825, Completion tokens: 411271
Prompt tokens: 1308129, Completion tokens: 102171
Prompt tokens: 2183019, Completion tokens: 300496
Prompt tokens: 1359561, Completion tokens: 114800
Prompt tokens: 1472686, Completion tokens: 114752
Prompt tokens: 1207734, Completion tokens: 81285
Prompt tokens: 2058945, Completion tokens: 200711
Prompt tokens: 2180779, Completion tokens: 284120
Prompt tokens: 1544801, Completion tokens: 113818
Prompt tokens: 1998092, Completion tokens: 187847
